2019-02-15 11:32:29,290 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:32:29,293 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:32:29,295 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:34:24,679 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:34:24,686 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:34:24,689 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:34:24,690 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:36:57,776 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:36:57,786 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:36:57,788 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:36:57,789 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:37:14,131 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:37:14,135 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:37:14,137 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:37:14,138 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:38:41,346 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:38:41,350 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:38:41,351 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:38:41,352 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:38:51,018 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:38:51,022 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:38:51,027 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:38:51,028 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:38:54,882 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:38:54,886 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:38:54,887 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:38:54,888 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:41:16,112 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:41:16,115 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:41:16,117 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:41:16,118 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:43:05,318 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:43:05,322 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:43:05,323 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:43:05,324 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:44:00,536 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:44:00,542 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:44:00,544 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:44:00,545 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:44:53,953 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:44:53,959 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:44:53,964 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:44:53,965 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:45:20,076 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:45:20,079 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:45:20,081 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:45:20,081 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:45:57,616 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:45:57,619 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:45:57,621 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:45:57,622 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:48:39,881 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:48:39,884 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:48:39,886 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:48:39,887 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:49:55,172 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:49:55,178 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:49:55,180 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:49:55,181 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:50:13,810 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:50:13,814 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:50:13,815 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:50:13,815 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:50:25,387 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:50:25,391 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:50:25,393 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:50:25,393 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:51:03,077 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:51:03,080 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:51:03,082 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:51:03,083 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:53:23,113 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:53:23,115 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-02-15 11:53:23,119 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:53:23,121 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:57:31,342 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:57:31,348 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:57:31,351 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:57:31,352 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:58:39,399 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-02-15 11:59:35,854 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 03-Loja-App:03-Loja-App:1.0 -SNAPSHOT @ C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\pom.xml.
2019-02-15 11:59:36,137 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:59:36,145 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:59:36,179 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:59:36,179 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 12:03:09,593 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
